"Breach_ID","Risk_Score","Industry","Records_Breached","Breach_Date","Breach_Type","Breach_Source","Location","Risk_Severity"
510,5.9,"Other","5,000","2017-11-11","Identity Theft","Malicious Outsider","United Kingdom","Critical"
511,5,"Retail","24,000","2018-12-11","Identity Theft","Accidental Loss","United Kingdom","Critical"
512,5.9,"Healthcare","5,000","2017-11-20","Identity Theft","Malicious Outsider","United States","Critical"
513,5,"Healthcare","6,346","2018-04-14","Identity Theft","Malicious Outsider","United States","Critical"
514,5.9,"Technology","5,300","2017-02-02","Identity Theft","Malicious Outsider","United Kingdom","Critical"
515,5,"Financial","5,799","2018-04-05","Identity Theft","Malicious Outsider","United States","Critical"
516,5.9,"Healthcare","4,611","2017-01-20","Identity Theft","Malicious Outsider","United States","Critical"
517,5,"Government","7,000","2018-04-11","Identity Theft","Malicious Outsider","Canada","Critical"
518,5.9,"Industrial","4,700","2017-02-03","Identity Theft","Malicious Outsider","United States","Critical"
519,5,"Hospitality","6,012","2018-01-26","Identity Theft","Malicious Outsider","United States","Critical"
520,5.9,"Healthcare","4,500","2017-02-03","Identity Theft","Malicious Outsider","United States","Critical"
521,5,"Government","6,456","2018-09-17","Identity Theft","Malicious Outsider","France","Critical"
522,5.9,"Healthcare","10,000","2017-07-10","Account Access","Malicious Outsider","United States","Critical"
523,4.9,"Healthcare","5,207","2018-03-14","Identity Theft","Malicious Outsider","United States","Moderate"
524,5.9,"Government","41,140","2017-07-27","Identity Theft","Accidental Loss","United States","Critical"
525,4.9,"Healthcare","5,000","2018-10-17","Identity Theft","Malicious Outsider","United States","Moderate"
526,5.9,"Retail","66,000","2017-10-03","Financial Access","Malicious Outsider","United States","Critical"
527,4.9,"Insurance","19,570","2018-07-25","Identity Theft","Accidental Loss","United States","Moderate"
528,5.9,"Financial","9,000","2017-04-08","Account Access","Malicious Outsider","Romania","Critical"
529,4.9,"Non-profit","21,612","2018-11-03","Identity Theft","Accidental Loss","United States","Moderate"
530,5.9,"Healthcare","53,173","2017-11-14","Identity Theft","Malicious Outsider","United States","Critical"
531,4.9,"Other","4,753","2018-01-12","Identity Theft","Malicious Outsider","United States","Moderate"
532,5.9,"Healthcare","53,173","2017-11-14","Identity Theft","Malicious Outsider","United States","Critical"
533,4.9,"Technology","10,000","2018-02-01","Identity Theft","Hacktivist","United States","Moderate"
534,5.9,"Technology","45,000","2017-11-20","Identity Theft","Malicious Outsider","United States","Critical"
535,4.9,"Healthcare","4,824","2018-02-18","Identity Theft","Malicious Outsider","United States","Moderate"
536,5.9,"Insurance","5,400","2017-09-04","Identity Theft","Malicious Outsider","Singapore","Critical"
537,4.9,"Government","20,000","2018-11-30","Identity Theft","Stolen Device","Denmark","Moderate"
538,5.9,"Healthcare","55,447","2017-02-06","Identity Theft","Malicious Outsider","United States","Critical"
539,4.9,"Retail","7,000","2018-12-03","Financial Access","Malicious Outsider","Netherlands","Moderate"
540,5.9,"Healthcare","5,000","2017-07-19","Identity Theft","Malicious Outsider","United States","Critical"
541,4.9,"Healthcare","5,368","2018-08-23","Identity Theft","Malicious Outsider","United States","Moderate"
542,5.8,"Insurance","4,220","2017-07-19","Identity Theft","Malicious Outsider","United States","Critical"
543,4.9,"Financial","5,403","2018-01-15","Identity Theft","Malicious Outsider","United States","Moderate"
544,5.8,"Education","29,000","2017-05-08","Identity Theft","Accidental Loss","United States","Critical"
545,4.9,"Government","21,426","2018-02-28","Identity Theft","Accidental Loss","United States","Moderate"
546,5.8,"Healthcare","4,300","2017-04-14","Identity Theft","Malicious Outsider","United States","Critical"
547,4.9,"Healthcare","4,476","2018-01-18","Identity Theft","Malicious Outsider","United States","Moderate"
548,5.8,"Healthcare","4,229","2017-04-05","Identity Theft","Malicious Outsider","United States","Critical"
549,4.9,"Healthcare","5,000","2018-01-23","Identity Theft","Malicious Outsider","United States","Moderate"
550,5.8,"Industrial","4,000","2017-01-20","Identity Theft","Malicious Outsider","United States","Critical"
551,4.8,"Financial","17,000","2018-03-12","Identity Theft","Accidental Loss","United Kingdom","Moderate"
552,5.8,"Healthcare","3,831","2017-04-18","Identity Theft","Malicious Outsider","United States","Critical"
553,4.8,"Healthcare","3,882","2018-06-22","Identity Theft","Malicious Outsider","United States","Moderate"
554,5.8,"Healthcare","4,000","2017-05-02","Identity Theft","Malicious Outsider","United States","Critical"
555,4.8,"Education","4,054","2018-03-15","Identity Theft","Malicious Outsider","United States","Moderate"
556,5.8,"Education","29,000","2017-06-08","Identity Theft","Accidental Loss","United States","Critical"
557,4.8,"Education","8,000","2018-05-01","Account Access","Malicious Outsider","Australia","Moderate"
558,5.8,"Healthcare","3,898","2017-12-20","Identity Theft","Malicious Outsider","United States","Critical"
559,4.8,"Insurance","16,762","2018-07-19","Identity Theft","Accidental Loss","United States","Moderate"
560,5.8,"Hospitality","4,000","2017-01-31","Identity Theft","Malicious Outsider","United States","Critical"
561,4.8,"Insurance","15,000","2018-10-26","Identity Theft","Stolen Device","United States","Moderate"
562,5.8,"Government","1,64,000","2017-09-22","Identity Theft","Accidental Loss","United States","Critical"
563,4.8,"Professional Services","3,956","2018-05-01","Identity Theft","Malicious Outsider","United States","Moderate"
564,5.8,"Healthcare","4,721","2017-06-02","Identity Theft","Malicious Insider","United States","Critical"
565,4.8,"Hospitality","17,000","2018-11-09","Identity Theft","Accidental Loss","United Kingdom","Moderate"
566,5.7,"Education","11,200","2017-11-10","Identity Theft","Accidental Loss","United States","Critical"
567,4.8,"Technology","22,477","2018-01-30","Financial Access","Accidental Loss","Australia","Moderate"
568,5.7,"Healthcare","3,275","2017-10-19","Identity Theft","Malicious Outsider","United States","Critical"
569,4.8,"Healthcare","8,000","2018-04-01","Account Access","Malicious Outsider","Australia","Moderate"
570,5.7,"Healthcare","13,004","2017-09-20","Nuisance","Malicious Outsider","United States","Critical"
571,4.8,"Healthcare","16,154","2018-05-23","Identity Theft","Accidental Loss","United States","Moderate"
572,5.7,"Education","3,200","2017-01-31","Identity Theft","Malicious Outsider","United States","Critical"
573,4.8,"Healthcare","17,639","2018-02-23","Identity Theft","Accidental Loss","United States","Moderate"
574,5.7,"Government","3,725","2017-09-28","Existential Data","Malicious Insider","United Kingdom","Critical"
575,4.8,"Healthcare","3,907","2018-05-28","Identity Theft","Malicious Outsider","United States","Moderate"
576,5.7,"Healthcare","3,400","2017-06-01","Identity Theft","Malicious Outsider","United States","Critical"
577,4.8,"Healthcare","3,731","2018-04-08","Identity Theft","Malicious Outsider","United States","Moderate"
578,5.7,"Healthcare","3,000","2017-07-05","Identity Theft","Malicious Outsider","United States","Critical"
579,4.8,"Healthcare","4,065","2018-06-05","Identity Theft","Malicious Outsider","United States","Moderate"
580,5.7,"Education","3,053","2017-01-19","Identity Theft","Malicious Outsider","United States","Critical"
581,4.8,"Healthcare","17,500","2018-06-01","Identity Theft","Accidental Loss","Australia","Moderate"
582,5.7,"Education","3,000","2017-02-11","Identity Theft","Malicious Outsider","United States","Critical"
583,4.8,"Other","17,500","2018-06-01","Identity Theft","Accidental Loss","Australia","Moderate"
584,5.7,"Government","24,000","2017-03-18","Identity Theft","Accidental Loss","United States","Critical"
585,4.8,"Technology","15,000","2018-06-02","Nuisance","Malicious Outsider","Belgium","Moderate"
586,5.7,"Government","3,200","2017-09-19","Identity Theft","Malicious Outsider","United States","Critical"
587,4.8,"Healthcare","5,485","2018-03-07","Identity Theft","Malicious Insider","United States","Moderate"
588,5.7,"Education","35,108","2017-07-01","Identity Theft","Malicious Outsider","United States","Critical"
589,4.8,"Education","3,734","2018-02-01","Identity Theft","Malicious Outsider","United States","Moderate"
590,5.7,"Industrial","2,858","2017-02-24","Identity Theft","Malicious Outsider","United States","Critical"
591,4.8,"Healthcare","4,309","2018-07-01","Identity Theft","Malicious Outsider","United States","Moderate"
592,5.7,"Education","3,250","2017-01-04","Identity Theft","Malicious Outsider","United States","Critical"
593,4.7,"Insurance","2,814","2018-07-05","Identity Theft","Malicious Outsider","United States","Moderate"
594,5.7,"Healthcare","3,300","2017-10-03","Identity Theft","Malicious Outsider","United States","Critical"
595,4.7,"Education","3,000","2018-03-12","Identity Theft","Malicious Outsider","United States","Moderate"
596,5.7,"Healthcare","5,600","2017-05-26","Account Access","Malicious Outsider","United States","Critical"
597,4.7,"Financial","3,000","2018-07-25","Identity Theft","Malicious Outsider","Thailand","Moderate"
598,5.7,"Government","3,000","2017-05-16","Identity Theft","Malicious Outsider","United States","Critical"
599,4.7,"Government","5,994","2018-11-01","Account Access","Malicious Outsider","United Kingdom","Moderate"
600,5.7,"Non-profit","3,000","2017-02-09","Identity Theft","Malicious Outsider","Canada","Critical"
601,4.7,"Healthcare","4,686","2018-05-09","Identity Theft","Malicious Insider","United States","Moderate"
602,5.7,"Education","3,300","2017-12-06","Identity Theft","Malicious Outsider","United States","Critical"
603,4.7,"Retail","24,990","2018-08-06","Account Access","Unknown","Unknown","Moderate"
604,5.7,"Education","3,300","2017-01-08","Identity Theft","Malicious Outsider","United States","Critical"
605,4.7,"Technology","12,000","2018-01-04","Identity Theft","Accidental Loss","United States","Moderate"
606,5.7,"Government","2,969","2017-02-27","Identity Theft","Malicious Outsider","United States","Critical"
607,4.7,"Government","13,942","2018-02-19","Identity Theft","Accidental Loss","United States","Moderate"
608,5.7,"Retail","50,000","2017-02-01","Account Access","Accidental Loss","United States","Critical"
609,4.7,"Government","4,600","2018-08-10","Financial Access","Malicious Outsider","United States","Moderate"
610,5.7,"Healthcare","30,000","2017-11-15","Identity Theft","Malicious Outsider","United States","Critical"
611,4.7,"Healthcare","3,202","2018-01-06","Identity Theft","Malicious Outsider","United States","Moderate"
612,5.7,"Healthcare","2,898","2017-10-25","Identity Theft","Malicious Outsider","United States","Critical"
613,4.7,"Healthcare","4,423","2018-02-20","Financial Access","Malicious Outsider","United States","Moderate"
614,5.7,"Healthcare","3,365","2017-02-02","Identity Theft","Malicious Outsider","United States","Critical"
615,4.7,"Education","2,879","2018-05-18","Identity Theft","Malicious Outsider","United States","Moderate"
616,5.7,"Healthcare","6,000","2017-06-08","Identity Theft","Malicious Outsider","United States","Critical"
617,4.7,"Healthcare","11,248","2018-01-09","Identity Theft","Accidental Loss","United States","Moderate"
618,5.7,"Healthcare","6,300","2017-06-09","Identity Theft","Malicious Outsider","United States","Critical"
619,4.7,"Other","3,500","2018-04-01","Identity Theft","Malicious Outsider","Australia","Moderate"
620,5.7,"Hospitality","3,230","2017-03-13","Identity Theft","Malicious Outsider","United States","Critical"
621,4.7,"Healthcare","3,000","2018-04-02","Identity Theft","Malicious Outsider","United States","Moderate"
622,5.6,"Industrial","25,500","2017-12-22","Identity Theft","Malicious Outsider","United States","Critical"
623,4.7,"Retail","25,000","2018-08-29","Account Access","Accidental Loss","United Kingdom","Moderate"
624,5.6,"Healthcare","2,789","2017-05-04","Identity Theft","Malicious Outsider","United States","Critical"
625,4.7,"Healthcare","2,889","2018-02-28","Identity Theft","Malicious Outsider","United States","Moderate"
626,5.6,"Social Media","2,738","2017-02-24","Identity Theft","Malicious Outsider","United States","Critical"
627,4.7,"Retail","3,817","2018-05-02","Financial Access","Malicious Outsider","United States","Moderate"
628,5.6,"Technology","5,118","2017-03-20","Account Access","Malicious Outsider","Italy","Critical"
629,4.7,"Financial","3,200","2018-09-05","Identity Theft","Malicious Outsider","Australia","Moderate"
630,5.6,"Industrial","2,400","2017-03-03","Identity Theft","Malicious Outsider","United States","Critical"
631,4.7,"Insurance","3,500","2018-09-05","Identity Theft","Malicious Outsider","United States","Moderate"
632,5.6,"Government","50,000","2017-04-01","Identity Theft","Hacktivist","United States","Critical"
633,4.7,"Healthcare","2,800","2018-05-22","Identity Theft","Malicious Outsider","Canada","Moderate"
634,5.6,"Education","20,000","2017-11-22","Identity Theft","Accidental Loss","Canada","Critical"
635,4.7,"Technology","15,500","2018-06-01","Financial Access","Accidental Loss","New Zealand","Moderate"
636,5.6,"Healthcare","3,400","2017-01-03","Identity Theft","Malicious Insider","United States","Critical"
637,4.7,"Financial","2,837","2018-03-02","Identity Theft","Malicious Outsider","United States","Moderate"
638,5.6,"Healthcare","3,247","2017-02-24","Identity Theft","Malicious Insider","United States","Critical"
639,4.7,"Healthcare","2,900","2018-06-30","Identity Theft","Malicious Outsider","United States","Moderate"
640,5.6,"Healthcare","2,263","2017-06-30","Identity Theft","Malicious Outsider","United States","Critical"
641,4.7,"Non-profit","3,000","2018-09-30","Identity Theft","Malicious Outsider","United States","Moderate"
642,5.6,"Healthcare","4,800","2017-01-10","Account Access","Malicious Outsider","United States","Critical"
643,4.7,"Financial","3,000","2018-03-08","Identity Theft","Malicious Outsider","United States","Moderate"
644,5.6,"Healthcare","26,598","2017-09-01","Identity Theft","Malicious Outsider","United States","Critical"
645,4.6,"Other","3,500","2018-05-01","Financial Access","Malicious Outsider","Australia","Moderate"
646,5.6,"Other","35,147","2017-09-01","Financial Access","Malicious Outsider","United States","Critical"
647,4.6,"Other","3,500","2018-05-01","Financial Access","Malicious Outsider","Australia","Moderate"
648,5.6,"Financial","20,000","2017-03-31","Identity Theft","Accidental Loss","United States","Critical"
649,4.6,"Professional Services","3,500","2018-05-01","Financial Access","Malicious Outsider","Australia","Moderate"
650,5.6,"Healthcare","3,494","2017-05-09","Identity Theft","Malicious Insider","United States","Critical"
651,4.6,"Healthcare","2,500","2018-06-14","Identity Theft","Malicious Outsider","United States","Moderate"
652,5.6,"Healthcare","2,500","2017-07-13","Identity Theft","Malicious Outsider","United States","Critical"
653,4.6,"Healthcare","10,000","2018-10-08","Identity Theft","Accidental Loss","United States","Moderate"
654,5.6,"Healthcare","5,524","2017-06-30","Account Access","Malicious Outsider","United States","Critical"
655,4.6,"Financial","2,299","2018-02-09","Identity Theft","Malicious Outsider","United States","Moderate"
656,5.6,"Education","2,618","2017-12-08","Identity Theft","Malicious Outsider","United States","Critical"
657,4.6,"Insurance","2,583","2018-07-16","Identity Theft","Malicious Outsider","United States","Moderate"
658,5.6,"Healthcare","2,000","2017-06-22","Existential Data","Malicious Outsider","United States","Critical"
659,4.6,"Healthcare","10,000","2018-07-27","Identity Theft","Accidental Loss","United States","Moderate"
660,5.6,"Healthcare","2,718","2017-06-23","Identity Theft","Malicious Outsider","United States","Critical"
661,4.6,"Professional Services","2,450","2018-02-13","Identity Theft","Malicious Outsider","United States","Moderate"
662,5.6,"Healthcare","2,494","2017-10-12","Identity Theft","Malicious Outsider","United States","Critical"
663,4.6,"Other","2,260","2018-02-15","Identity Theft","Malicious Outsider","United States","Moderate"
664,5.6,"Education","18,600","2017-08-18","Identity Theft","Accidental Loss","United States","Critical"
665,4.6,"insurance","2,508","2018-01-03","Identity Theft","Malicious Outsider","United States","Moderate"
666,5.6,"Healthcare","3,500","2017-05-16","Identity Theft","Malicious Insider","United States","Critical"
667,4.6,"Healthcare","10,000","2018-08-10","Identity Theft","Accidental Loss","United States","Moderate"
668,5.6,"Healthcare","22,000","2017-11-21","Identity Theft","Accidental Loss","United States","Critical"
669,4.6,"Healthcare","9,378","2018-01-08","Identity Theft","Accidental Loss","United States","Moderate"
670,5.6,"Education","25,000","2017-11-13","Identity Theft","Malicious Outsider","Canada","Critical"
671,4.6,"Other","3,500","2018-04-01","Identity Theft","Malicious Insider","Australia","Moderate"
672,5.6,"Healthcare","2,300","2017-05-22","Identity Theft","Malicious Outsider","United States","Critical"
673,4.6,"Government","11,000","2018-02-23","Identity Theft","Accidental Loss","United States","Moderate"
674,5.6,"Healthcare","24,000","2017-11-27","Identity Theft","Malicious Outsider","United States","Critical"
675,4.6,"Healthcare","2,284","2018-05-30","Identity Theft","Malicious Outsider","United States","Moderate"
676,5.6,"Healthcare","2,200","2017-03-06","Existential Data","Malicious Outsider","United States","Critical"
677,4.6,"Entertainment","2,357","2018-04-09","Identity Theft","Malicious Outsider","United States","Moderate"
678,5.5,"Healthcare","1,900","2017-12-20","Identity Theft","Malicious Outsider","United States","Critical"
679,4.6,"Healthcare","2,553","2018-02-26","Identity Theft","Malicious Outsider","United States","Moderate"
680,5.5,"Other","2,400","2017-06-29","Financial Access","Malicious Outsider","United States","Critical"
681,4.6,"Healthcare","10,396","2018-04-02","Identity Theft","Accidental Loss","United States","Moderate"
682,5.5,"Healthcare","2,000","2017-07-25","Identity Theft","Malicious Outsider","United States","Critical"
683,4.6,"Other","3,576","2018-05-31","Financial Access","Malicious Outsider","United States","Moderate"
684,5.5,"Retail","28,437","2017-11-10","Financial Access","Malicious Outsider","United States","Critical"
685,4.6,"Financial","2,264","2018-02-27","Identity Theft","Malicious Outsider","United States","Moderate"
686,5.5,"Entertainment","1,900","2017-06-03","Identity Theft","Malicious Outsider","Canada","Critical"
687,4.6,"Financial","3,500","2018-06-01","Financial Access","Malicious Outsider","Australia","Moderate"
688,5.5,"Government","21,000","2017-11-10","Financial Access","Accidental Loss","United States","Critical"
689,4.6,"Education","2,581","2018-01-19","Identity Theft","Malicious Outsider","United States","Moderate"
690,5.5,"Healthcare","1,843","2017-12-01","Identity Theft","Malicious Outsider","United States","Critical"
691,4.6,"Healthcare","2,393","2018-05-27","Identity Theft","Malicious Outsider","United States","Moderate"
692,5.5,"Education","2,158","2017-12-15","Identity Theft","Malicious Outsider","United States","Critical"
693,4.6,"Industrial","2,450","2018-01-24","Identity Theft","Malicious Outsider","United States","Moderate"
694,5.5,"Education","1,900","2017-01-08","Identity Theft","Malicious Outsider","United States","Critical"
695,4.6,"Education","9,000","2018-01-25","Identity Theft","Accidental Loss","United States","Moderate"
696,5.5,"Education","44,000","2017-08-03","Account Access","Malicious Outsider","United States","Critical"
697,4.6,"Professional Services","2,365","2018-03-02","Identity Theft","Malicious Outsider","United States","Moderate"
698,5.5,"Industrial","1,900","2017-01-26","Identity Theft","Malicious Outsider","United States","Critical"
699,4.6,"Healthcare","10,000","2018-09-24","Identity Theft","Stolen Device","United States","Moderate"
700,5.5,"Technology","17,618","2017-09-01","Identity Theft","Malicious Outsider","United States","Critical"
701,4.6,"Healthcare","2,231","2018-06-01","Identity Theft","Malicious Outsider","United States","Moderate"
702,5.5,"Education","2,000","2017-04-24","Identity Theft","Malicious Outsider","United States","Critical"
703,4.6,"Healthcare","2,500","2018-01-31","Identity Theft","Malicious Outsider","United States","Moderate"
704,5.5,"Healthcare","1,850","2017-11-13","Identity Theft","Malicious Outsider","United States","Critical"
705,4.6,"Financial","3,122","2018-03-06","Identity Theft","Malicious Insider","United States","Moderate"
706,5.5,"Education","2,000","2017-05-31","Identity Theft","Malicious Outsider","United States","Critical"
707,4.6,"Healthcare","2,584","2018-01-31","Identity Theft","Malicious Outsider","United States","Moderate"
708,5.5,"Technology","28,740","2017-11-05","Financial Access","Malicious Outsider","United States","Critical"
709,4.6,"Education","3,500","2018-05-01","Financial Access","Malicious Outsider","Australia","Moderate"
710,5.5,"Education","2,036","2017-03-16","Identity Theft","Malicious Outsider","United States","Critical"
711,4.5,"Healthcare","8,300","2018-03-10","Identity Theft","Accidental Loss","United States","Moderate"
712,5.5,"Professional Services","76,299","2017-11-22","Nuisance","Malicious Outsider","United States","Critical"
713,4.5,"Professional Services","1,839","2018-10-05","Identity Theft","Malicious Outsider","United States","Moderate"
714,5.5,"Financial","14,616","2017-01-27","Identity Theft","Accidental Loss","United States","Critical"
715,4.5,"Healthcare","2,100","2018-02-06","Identity Theft","Malicious Outsider","United States","Moderate"
716,5.5,"Other","18,632","2017-12-05","Identity Theft","Malicious Outsider","United States","Critical"
717,4.5,"Retail","7,500","2018-10-15","Identity Theft","Accidental Loss","Australia","Moderate"
718,5.5,"Healthcare","19,438","2017-12-06","Identity Theft","Malicious Outsider","United States","Critical"
719,4.5,"Education","8,000","2018-07-25","Identity Theft","Accidental Loss","United States","Moderate"
720,5.5,"Technology","2,650","2017-01-09","Financial Access","Malicious Outsider","Netherlands","Critical"
721,4.5,"Financial","8,000","2018-10-27","Nuisance","Malicious Outsider","Pakistan","Moderate"
722,5.5,"Non-profit","20,996","2017-12-18","Identity Theft","Malicious Outsider","United States","Critical"
723,4.5,"Entertainment","2,442","2018-02-14","Financial Access","Malicious Outsider","United States","Moderate"
724,5.5,"Healthcare","1,969","2017-08-09","Identity Theft","Malicious Outsider","United States","Critical"
725,4.5,"Financial","2,079","2018-02-14","Identity Theft","Malicious Outsider","United States","Moderate"
726,5.4,"Healthcare","1,458","2017-09-01","Identity Theft","Malicious Outsider","United States","Critical"
727,4.5,"Healthcare","1,804","2018-08-02","Identity Theft","Malicious Outsider","United States","Moderate"
728,5.4,"Healthcare","2,000","2017-05-30","Identity Theft","Malicious Insider","United States","Critical"
729,4.5,"Professional Services","2,009","2018-02-16","Identity Theft","Malicious Outsider","United States","Moderate"
730,5.4,"Healthcare","2,000","2017-06-05","Identity Theft","Malicious Insider","United States","Critical"
731,4.5,"Government","2,400","2018-08-11","Financial Access","Malicious Outsider","United States","Moderate"
732,5.4,"Healthcare","1,586","2017-02-07","Identity Theft","Malicious Outsider","United States","Critical"
733,4.5,"Healthcare","1,834","2018-02-21","Identity Theft","Malicious Outsider","United States","Moderate"
734,5.4,"Healthcare","5,685","2017-02-07","Nuisance","Malicious Outsider","United States","Critical"
735,4.5,"Insurance","2,032","2018-03-07","Identity Theft","Malicious Outsider","United States","Moderate"
736,5.4,"Healthcare","1,741","2017-04-13","Identity Theft","Malicious Outsider","United States","Critical"
737,4.5,"Insurance","8,056","2018-08-15","Identity Theft","Accidental Loss","United States","Moderate"
738,5.4,"Education","1,581","2017-09-28","Identity Theft","Malicious Outsider","United States","Critical"
739,4.5,"Healthcare","1,765","2018-05-21","Identity Theft","Malicious Outsider","United States","Moderate"
740,5.4,"Financial","10,000","2017-04-08","Existential Data","Accidental Loss","United States","Critical"
741,4.5,"Education","2,000","2018-12-05","Identity Theft","Malicious Outsider","United States","Moderate"
742,5.4,"Education","1,700","2017-02-02","Identity Theft","Malicious Outsider","United States","Critical"
743,4.5,"Healthcare","8,000","2018-04-01","Identity Theft","Accidental Loss","Australia","Moderate"
744,5.4,"Retail","22,182","2017-04-29","Financial Access","Malicious Outsider","United States","Critical"
745,4.5,"Financial","3,500","2018-06-01","Financial Access","Malicious Insider","Australia","Moderate"
746,5.4,"Financial","2,000","2017-03-25","Financial Access","Malicious Outsider","Philippines","Critical"
747,4.5,"Healthcare","1,951","2018-04-10","Identity Theft","Malicious Outsider","United States","Moderate"
748,5.4,"Healthcare","12,000","2017-08-24","Identity Theft","Accidental Loss","United States","Critical"
749,4.5,"Technology","35,000","2018-04-10","Nuisance","Accidental Loss","New Zealand","Moderate"
750,5.4,"Insurance","1,715","2017-10-06","Identity Theft","Malicious Outsider","United States","Critical"
751,4.5,"Non-profit","1,775","2018-01-23","Identity Theft","Malicious Outsider","United States","Moderate"
752,5.4,"Healthcare","6,231","2017-07-25","Nuisance","Malicious Outsider","United States","Critical"
753,4.5,"Professional Services","8,000","2018-06-01","Account Access","Hacktivist","Australia","Moderate"
754,5.4,"Healthcare","1,551","2017-11-17","Identity Theft","Malicious Outsider","United States","Critical"
755,4.5,"Other","2,128","2018-05-24","Identity Theft","Malicious Outsider","United States","Moderate"
756,5.4,"Healthcare","4,391","2017-07-11","Account Access","Malicious Insider","United States","Critical"
757,4.5,"Retail","2,511","2018-05-28","Financial Access","Malicious Outsider","United States","Moderate"
758,5.4,"Healthcare","1,700","2017-06-27","Identity Theft","Malicious Outsider","United States","Critical"
759,4.5,"Healthcare","1,800","2018-04-16","Identity Theft","Malicious Outsider","United States","Moderate"
760,5.4,"Healthcare","1,900","2017-07-03","Identity Theft","Malicious Insider","United States","Critical"
761,4.5,"Healthcare","1,790","2018-06-21","Identity Theft","Malicious Outsider","United States","Moderate"
762,5.4,"Education","14,283","2017-09-24","Identity Theft","Malicious Outsider","United States","Critical"
763,4.5,"Professional Services","2,113","2018-03-08","Identity Theft","Malicious Outsider","United States","Moderate"
764,5.4,"Healthcare","1,600","2017-08-12","Identity Theft","Malicious Outsider","United States","Critical"
765,4.5,"Healthcare","2,000","2018-06-08","Identity Theft","Malicious Outsider","United States","Moderate"
766,5.4,"Healthcare","16,429","2017-11-01","Identity Theft","Malicious Outsider","United States","Critical"
767,4.4,"Healthcare","1,647","2018-07-02","Identity Theft","Malicious Outsider","United States","Moderate"
768,5.4,"Technology","1,750","2017-01-20","Identity Theft","Malicious Outsider","United States","Critical"
769,4.4,"Professional Services","1,657","2018-07-06","Identity Theft","Malicious Outsider","United States","Moderate"
770,5.4,"Healthcare","8,450","2017-07-05","Nuisance","Malicious Insider","United States","Critical"
771,4.4,"Government","5,600","2018-02-06","Identity Theft","Accidental Loss","United States","Moderate"
772,5.4,"Education","1,500","2017-01-13","Identity Theft","Malicious Outsider","United States","Critical"
773,4.4,"Healthcare","1,412","2018-03-14","Identity Theft","Malicious Outsider","United States","Moderate"
774,5.4,"Healthcare","1,506","2017-10-23","Identity Theft","Malicious Outsider","United States","Critical"
775,4.4,"Healthcare","1,755","2018-03-15","Identity Theft","Malicious Outsider","United States","Moderate"
776,5.4,"Healthcare","1,469","2017-10-17","Identity Theft","Malicious Outsider","United States","Critical"
777,4.4,"Professional Services","3,500","2018-05-01","Account Access","Malicious Outsider","Australia","Moderate"
778,5.4,"Education","1,600","2017-03-03","Identity Theft","Malicious Outsider","United States","Critical"
779,4.4,"Healthcare","1,600","2018-03-26","Identity Theft","Malicious Outsider","United States","Moderate"
780,5.4,"Healthcare","3,496","2017-05-09","Identity Theft","Malicious Outsider","United States","Critical"
781,4.4,"Financial","1,706","2018-03-27","Identity Theft","Malicious Outsider","United States","Moderate"
782,5.4,"Healthcare","1,716","2017-10-26","Identity Theft","Malicious Outsider","United States","Critical"
783,4.4,"Healthcare","1,733","2018-03-30","Identity Theft","Malicious Outsider","United States","Moderate"
784,5.3,"Healthcare","1,200","2017-02-22","Identity Theft","Malicious Outsider","United States","Critical"
785,4.4,"Professional Services","1,664","2018-02-15","Identity Theft","Malicious Outsider","United States","Moderate"
786,5.3,"Healthcare","1,279","2017-12-11","Identity Theft","Malicious Outsider","United States","Critical"
787,4.4,"Technology","2,800","2018-05-16","Account Access","Malicious Outsider","United States","Moderate"
788,5.3,"Hospitality","1,200","2017-02-09","Identity Theft","Malicious Outsider","United States","Critical"
789,4.4,"Other","3,500","2018-04-01","Account Access","Malicious Outsider","Australia","Moderate"
790,5.3,"Retail","20,000","2017-03-19","Account Access","Accidental Loss","United States","Critical"
791,4.4,"Other","6,000","2018-12-06","Identity Theft","Accidental Loss","Australia","Moderate"
792,5.3,"Healthcare","960","2017-03-23","Existential Data","Malicious Outsider","United States","Critical"
793,4.4,"Financial","1,451","2018-01-15","Identity Theft","Malicious Outsider","United States","Moderate"
794,5.3,"Education","1,300","2017-01-27","Identity Theft","Malicious Outsider","United States","Critical"
795,4.4,"Technology","2,074","2018-01-16","Financial Access","Malicious Outsider","United States","Moderate"
796,5.3,"Healthcare","1,132","2017-03-31","Identity Theft","Malicious Outsider","United States","Critical"
797,4.4,"Education","6,094","2018-01-16","Identity Theft","Accidental Loss","United States","Moderate"
798,5.3,"Healthcare","1,637","2017-04-04","Identity Theft","Malicious Insider","United States","Critical"
799,4.4,"Insurance","6,836","2018-01-17","Identity Theft","Accidental Loss","United States","Moderate"
800,5.3,"Healthcare","1,243","2017-05-05","Identity Theft","Malicious Outsider","United States","Critical"
801,4.4,"Healthcare","3,500","2018-06-01","Account Access","Malicious Outsider","Australia","Moderate"
802,5.3,"Healthcare","1,291","2017-03-13","Identity Theft","Malicious Outsider","United States","Critical"
803,4.4,"Other","3,500","2018-06-01","Account Access","Malicious Outsider","Australia","Moderate"
804,5.3,"Healthcare","1,298","2017-03-20","Identity Theft","Malicious Outsider","United States","Critical"
805,4.4,"Retail","1,870","2018-04-26","Financial Access","Malicious Outsider","United States","Moderate"
