"Year","Indicator","Country","Country Code","Weighted Score"
2014," Integration of Digital Technology","Germany","DE",6
2014," Integration of Digital Technology","Austria","AT",6
2014," Integration of Digital Technology","Ireland","IE",8
2014," Integration of Digital Technology","Lithuania","LT",8
2014," Integration of Digital Technology","Spain","ES",6
2014," Integration of Digital Technology","Portugal","PT",6
2014," Integration of Digital Technology","European Union 28","EU28",5
2014," Integration of Digital Technology","France","FR",5
2014," Integration of Digital Technology","Slovenia","SI",5
2014," Integration of Digital Technology","Latvia","LV",4
2014," Integration of Digital Technology","Czech Republic","CZ",7
2014," Integration of Digital Technology","Slovakia","SK",6
2014," Integration of Digital Technology","Hungary","HU",3
2014," Integration of Digital Technology","Poland","PL",3
2014," Integration of Digital Technology","Croatia","HR",7
2014," Integration of Digital Technology","Cyprus","CY",4
2014," Integration of Digital Technology","Italy","IT",4
2014," Integration of Digital Technology","Greece","EL",4
2014," Integration of Digital Technology","Bulgaria","BG",3
2014," Integration of Digital Technology","Romania","RO",3
2014," Digital Public Services","Denmark","DK",10
2014," Digital Public Services","Sweden","SE",9
2014," Digital Public Services","Finland","FI",11
2014," Digital Public Services","Netherlands","NL",9
2014," Digital Public Services","Luxembourg","LU",5
2014," Digital Public Services","United Kingdom","UK",8
2014," Digital Public Services","Belgium","BE",7
2014," Digital Public Services","Estonia","EE",10
2014," Digital Public Services","Malta","MT",8
2014," Digital Public Services","Germany","DE",6
2014," Digital Public Services","Austria","AT",8
2014," Digital Public Services","Ireland","IE",7
2014," Digital Public Services","Lithuania","LT",7
2014," Digital Public Services","Spain","ES",10
2014," Digital Public Services","Portugal","PT",9
2014," Digital Public Services","European Union 28","EU28",7
2014," Digital Public Services","France","FR",6
2014," Digital Public Services","Slovenia","SI",6
2014," Digital Public Services","Latvia","LV",6
2014," Digital Public Services","Czech Republic","CZ",4
2014," Digital Public Services","Slovakia","SK",5
2014," Digital Public Services","Hungary","HU",5
2014," Digital Public Services","Poland","PL",7
2014," Digital Public Services","Croatia","HR",4
2014," Digital Public Services","Cyprus","CY",6
2014," Digital Public Services","Italy","IT",7
2014," Digital Public Services","Greece","EL",4
2014," Digital Public Services","Bulgaria","BG",6
2014," Digital Public Services","Romania","RO",4
