,,Skill / Job Role(Historical trends & salary statistics),Rank6 Months to3 Mar 2019,RankChangeYear-on-Year,Median Salary6 Months to3 Mar 2019,Median Salary% ChangeYear-on-Year,HistoricalPermanentJob Ads,LiveJobVacancies
2515,NA,Senior Desktop Engineer,"1,032",73,"£39,000",-37.60%,75 (0.050%),1
2516,NA,Integration Analyst,"1,032",49,"£47,500",11.76%,75 (0.050%),8
2517,NA,Network Operations Engineer,"1,032",79,"£38,750",-8.82%,75 (0.050%),2
2518,NA,Development Team Manager,"1,032",69,"£75,000",25.00%,75 (0.050%),4
2519,NA,IT Infrastructure Project Manager,"1,032",9,"£52,500",8.24%,75 (0.050%),8
2520,NA,Senior Ruby Developer,"1,032",19,"£70,000",7.69%,75 (0.050%),17
2521,NA,2nd Line Desktop Support Engineer,"1,032",36,"£28,500",-1.72%,75 (0.050%),3
2522,NA,Windows Server Support,"1,032",1,"£35,000",2.94%,75 (0.050%),6
2523,NA,Blockchain Engineer,"1,032",77,"£72,500",-6.45%,75 (0.050%),8
2524,NA,Nortel,"1,033",129,"£32,500",-28.96%,74 (0.050%),16
2525,NA,Apache Kudu,"1,033",142,"£85,000",-24.44%,74 (0.050%),1
2526,NA,Conversion Rate Optimisation,"1,033",38,"£45,000",12.50%,74 (0.050%),59
2527,NA,Release Train,"1,033",120,"£61,250",42.44%,74 (0.050%),18
2528,NA,MQTT,"1,033",115,"£50,000",-,74 (0.050%),27
2529,NA,Spanning Tree,"1,033",69,"£60,000",33.33%,74 (0.050%),18
2530,NA,MPhil,"1,033",59,"£65,000",-,74 (0.050%),8
2531,NA,Technical Trainer,"1,033",79,"£48,500",21.25%,74 (0.050%),4
2532,NA,Software Support Engineer,"1,033",45,"£32,750",0.76%,74 (0.050%),14
2533,NA,Auditor,"1,033",56,"£50,000",-,74 (0.050%),22
2534,NA,Account Director,"1,033",111,"£80,000",36.17%,74 (0.050%),16
2535,NA,LAMP Developer,"1,033",37,"£45,000",12.50%,74 (0.050%),15
2536,NA,Deskside Support Engineer,"1,033",133,"£25,470",-2.97%,74 (0.050%),1
2537,NA,Software QA Tester,"1,033",46,"£37,500",8.20%,74 (0.050%),15
2538,NA,Computational Biology,"1,034",127,"£57,500",-,73 (0.049%),4
2539,NA,Complexity Analysis,"1,034",41,"£52,500",-8.69%,73 (0.049%),20
2540,NA,Post-Production,"1,034",67,"£60,000",26.31%,73 (0.049%),25
2541,NA,HPUX,"1,034",-5,"£50,000",-,73 (0.049%),12
2542,NA,ISACA,"1,034",118,"£50,000",-13.04%,73 (0.049%),6
2543,NA,SAFe Agilist,"1,034",84,-,-,73 (0.049%),3
2544,NA,Flash,"1,034",-8,"£52,500",16.66%,73 (0.049%),31
2545,NA,Reactive Extensions,"1,034",50,"£67,500",8.00%,73 (0.049%),7
2546,NA,Task Parallel Library,"1,034",116,"£70,000",30.23%,73 (0.049%),10
2547,NA,WireMock,"1,034",115,"£65,000",52.94%,73 (0.049%),11
2548,NA,Shopify,"1,034",52,"£40,000",23.07%,73 (0.049%),48
2549,NA,IT Support Manager,"1,034",45,"£50,000",17.64%,73 (0.049%),16
2550,NA,Development Director,"1,034",74,"£102,500",-1.91%,73 (0.049%),3
2551,NA,Web Operations,"1,035",7,"£57,500",-4.16%,72 (0.048%),20
2552,NA,Co-Creation,"1,035",91,"£62,500",25.00%,72 (0.048%),19
2553,NA,OCP,"1,035",69,"£55,000",25.71%,72 (0.048%),3
2554,NA,SVG,"1,035",8,"£50,000",-,72 (0.048%),20
2555,NA,LabVIEW,"1,035",30,"£45,000",28.57%,72 (0.048%),46
2556,NA,Metasploit,"1,035",78,"£52,500",5.00%,72 (0.048%),14
2557,NA,Cognos Business Intelligence,"1,035",57,"£47,500",-5.00%,72 (0.048%),11
2558,NA,Programme Director,"1,035",63,"£103,750",-1.19%,72 (0.048%),4
2559,NA,CRM Business Analyst,"1,035",31,"£55,500",5.71%,72 (0.048%),9
2560,NA,Customer Analyst,"1,035",43,"£32,500",8.33%,72 (0.048%),10
2561,NA,Strategy Manager,"1,035",86,"£67,377",-3.74%,72 (0.048%),3
2562,NA,QA Test Manager,"1,035",101,"£56,250",-6.25%,72 (0.048%),3
2563,NA,Cisco Support Engineer,"1,035",92,"£42,500",18.05%,72 (0.048%),6
2564,NA,3rd Line Technical Support,"1,035",89,"£35,000",-6.66%,72 (0.048%),7
2565,NA,Messaging Developer,"1,035",20,"£90,000",80.00%,72 (0.048%),11
2566,NA,Symantec Endpoint Protection,"1,035",74,"£52,500",50.00%,72 (0.048%),6
2567,NA,Azure Machine Learning,"1,035",59,"£62,500",-3.84%,72 (0.048%),13
2568,NA,Tradeweb,"1,036",123,"£52,500",-,71 (0.048%),4
2569,NA,FireEye,"1,036",58,"£75,000",7.14%,71 (0.048%),9
2570,NA,CMMI,"1,036",52,"£47,500",-5.00%,71 (0.048%),9
2571,NA,ISDN,"1,036",21,"£37,500",-16.66%,71 (0.048%),22
2572,NA,PhoneGap,"1,036",-78,"£63,750",27.50%,71 (0.048%),12
2573,NA,EasyMock,"1,036",122,"£55,000",22.22%,71 (0.048%),4
2574,NA,3D Graphics,"1,036",47,"£46,000",15.00%,71 (0.048%),28
2575,NA,Over-the-Top Content,"1,036",53,"£67,500",12.50%,71 (0.048%),29
2576,NA,iptables,"1,036",44,"£58,750",5.85%,71 (0.048%),19
2577,NA,Senior .NET Software Engineer,"1,036",49,"£56,000",-2.60%,71 (0.048%),12
2578,NA,Junior Test Analyst,"1,036",104,"£22,500",-2.17%,71 (0.048%),7
2579,NA,Dynamics AX Consultant,"1,036",-139,"£63,750",-1.92%,71 (0.048%),213
2580,NA,Embedded C/C++ Software Engineer,"1,036",-33,"£45,000",-10.00%,71 (0.048%),13
2581,NA,Enterprise Solutions Architect,"1,036",64,"£90,000",9.09%,71 (0.048%),4
2582,NA,Senior DevOps Consultant,"1,036",123,"£83,750",-20.23%,71 (0.048%),3
2583,NA,Investment Banking Java Developer,"1,036",-8,"£70,000",-6.66%,71 (0.048%),6
2584,NA,1st Line Technical Support,"1,036",105,"£21,500",-4.44%,71 (0.048%),7
2585,NA,C/C++ Embedded Software Engineer,"1,036",-33,"£45,000",-10.00%,71 (0.048%),13
2586,NA,Digital Executive,"1,036",67,"£30,000",-,71 (0.048%),11
2587,NA,Automic,"1,036",111,"£60,000",33.33%,71 (0.048%),NA
2588,NA,Fidessa,"1,037",39,"£60,000",-14.28%,70 (0.047%),7
2589,NA,Lumira,"1,037",127,"£55,000",-,70 (0.047%),1
2590,NA,Memory Management,"1,037",-46,"£65,000",23.80%,70 (0.047%),43
2591,NA,Network Optimisation,"1,037",99,"£45,000",-10.00%,70 (0.047%),9
2592,NA,MOS,"1,037",92,"£50,000",53.84%,70 (0.047%),6
2593,NA,IDoc,"1,037",-91,"£52,500",-4.54%,70 (0.047%),12
2594,NA,SAP PM,"1,037",6,"£75,000",25.00%,70 (0.047%),5
2595,NA,Senior Technical Consultant,"1,037",93,"£75,000",15.38%,70 (0.047%),7
2596,NA,Senior Oracle Developer,"1,037",95,"£55,000",-8.33%,70 (0.047%),14
2597,NA,SAP Functional Consultant,"1,037",91,"£60,000",4.34%,70 (0.047%),13
2598,NA,SharePoint Consultant,"1,037",27,"£57,500",15.00%,70 (0.047%),36
2599,NA,IP Network Engineer,"1,037",88,"£45,000",-10.00%,70 (0.047%),3
2600,NA,Principal Systems Engineer,"1,037",110,"£57,500",-25.80%,70 (0.047%),30
2601,NA,Financial Services Business Analyst,"1,037",59,"£52,500",0.96%,70 (0.047%),6
2602,NA,Business Data Analyst,"1,037",77,"£45,000",-,70 (0.047%),17
2603,NA,3rd Line Network Engineer,"1,037",-3,"£41,500",-12.63%,70 (0.047%),12
2604,NA,IT Risk Analyst,"1,037",104,"£61,250",22.50%,70 (0.047%),2
2605,NA,Change Project Manager,"1,037",80,"£56,250",7.14%,70 (0.047%),5
2606,NA,Senior UI/UX Designer,"1,037",97,"£55,000",-2.22%,70 (0.047%),15
2607,NA,ERP Support,"1,037",33,"£37,000",1.36%,70 (0.047%),12
2608,NA,NoSQL Developer,"1,037",83,"£59,500",-0.83%,70 (0.047%),3
2609,NA,Migration Manager,"1,037",63,"£62,500",19.04%,70 (0.047%),11
2610,NA,Cloud Specialist,"1,037",83,"£55,000",-8.33%,70 (0.047%),9
2611,NA,Brand Awareness,"1,037",87,"£40,000",14.28%,70 (0.047%),29
2612,NA,iPaaS,"1,037",124,"£65,000",16.29%,70 (0.047%),9
2613,NA,FXall,"1,038",123,"£52,500",-,69 (0.046%),4
2614,NA,PowerPivot,"1,038",24,"£55,000",0.03%,69 (0.046%),15
2615,NA,Human Factors,"1,038",64,"£55,387",16.60%,69 (0.046%),30
2616,NA,Distributed Algorithms,"1,038",57,"£57,500",-11.53%,69 (0.046%),6
2617,NA,XAML,"1,038",16,"£46,250",2.77%,69 (0.046%),36
2618,NA,Lua,"1,038",34,"£57,500",35.29%,69 (0.046%),11
2619,NA,CCVP,"1,038",60,"£72,500",20.83%,69 (0.046%),2
2620,NA,WebRTC,"1,038",110,"£40,000",31.14%,69 (0.046%),20
2621,NA,Material Design,"1,038",29,"£58,000",22.10%,69 (0.046%),22
2622,NA,AccuRev,"1,038",140,"£45,000",12.50%,69 (0.046%),14
2623,NA,E-Commerce Project Manager,"1,038",36,"£50,000",-2.43%,69 (0.046%),16
2624,NA,Integration Consultant,"1,038",57,"£60,000",-7.69%,69 (0.046%),11
2625,NA,Server Analyst,"1,038",10,"£36,250",-3.33%,69 (0.046%),8
2626,NA,Citrix Support,"1,038",43,"£37,500",-,69 (0.046%),3
2627,NA,Payroll Consultant,"1,038",87,"£50,000",-9.09%,69 (0.046%),8
2628,NA,Business Change Analyst,"1,038",33,"£45,000",-5.26%,69 (0.046%),3
2629,NA,Information Risk Manager,"1,038",76,"£65,000",-23.52%,69 (0.046%),2
2630,NA,Junior C++ Developer,"1,038",104,"£57,500",91.66%,69 (0.046%),17
2631,NA,User Experience Researcher,"1,038",67,"£47,500",-13.63%,69 (0.046%),40
2632,NA,Unified Communications Engineer,"1,038",50,"£56,500",10.24%,69 (0.046%),12
2633,NA,Unix Analyst,"1,038",95,"£55,000",6.79%,69 (0.046%),11
2634,NA,Symfony Developer,"1,038",54,"£52,500",23.52%,69 (0.046%),23
2635,NA,Senior Service Desk Analyst,"1,038",16,"£29,500",0.85%,69 (0.046%),6
2636,NA,Business Sales Executive,"1,038",119,"£40,000",48.14%,69 (0.046%),5
2637,NA,CASB,"1,038",100,"£70,000",3.70%,69 (0.046%),8
2638,NA,FinancialForce,"1,038",56,"£57,500",27.77%,69 (0.046%),2
2639,NA,MarketAxess,"1,039",137,"£52,500",-,68 (0.046%),4
2640,NA,SSDT,"1,039",69,"£42,500",-,68 (0.046%),16
2641,NA,EAM,"1,039",43,"£55,000",-18.51%,68 (0.046%),9
2642,NA,Bioinformatics,"1,039",39,"£45,139",-4.97%,68 (0.046%),31
2643,NA,Digital Signal Processing,"1,039",36,"£45,000",-10.00%,68 (0.046%),41
2644,NA,WF,"1,039",23,"£50,000",-4.76%,68 (0.046%),13
2645,NA,Ext JS,"1,039",26,"£52,500",-4.54%,68 (0.046%),19
2646,NA,Guice,"1,039",69,"£52,500",-30.00%,68 (0.046%),8
2647,NA,Hyperledger,"1,039",83,"£75,000",-3.22%,68 (0.046%),8
2648,NA,W3C,"1,039",-33,"£47,500",5.55%,68 (0.046%),36
2649,NA,VMware Server,"1,039",93,"£47,500",18.75%,68 (0.046%),14
2650,NA,IT Risk Manager,"1,039",23,"£67,500",3.84%,68 (0.046%),4
2651,NA,Build Engineer,"1,039",64,"£40,000",-20.00%,68 (0.046%),14
2652,NA,Test Architect,"1,039",87,"£80,000",23.07%,68 (0.046%),8
2653,NA,Software Delivery Manager,"1,039",98,"£62,500",-3.84%,68 (0.046%),11
2654,NA,Business Intelligence Data Analyst,"1,039",76,"£44,000",15.78%,68 (0.046%),16
2655,NA,Transformation Consultant,"1,039",77,"£70,000",-9.67%,68 (0.046%),5
2656,NA,Sales Account Manager,"1,039",64,"£40,000",45.45%,68 (0.046%),9
2657,NA,Nmap,"1,039",102,"£55,000",-6.77%,68 (0.046%),14
2658,NA,vRealize Orchestrator,"1,039",117,"£71,800",14.88%,68 (0.046%),5
2659,NA,Systems Thinking,"1,040",101,"£85,000",21.42%,67 (0.045%),17
2660,NA,PlayStation,"1,040",57,"£42,500",-5.55%,67 (0.045%),19
2661,NA,Integration Manager,"1,040",37,"£65,000",-7.14%,67 (0.045%),21
2662,NA,CRM Project Manager,"1,040",64,"£52,500",-8.69%,67 (0.045%),4
2663,NA,.NET Technical Architect,"1,040",59,"£80,000",14.28%,67 (0.045%),9
2664,NA,Information Security Specialist,"1,040",48,"£50,000",-9.09%,67 (0.045%),8
2665,NA,Project Consultant,"1,040",75,"£60,000",20.00%,67 (0.045%),4
2666,NA,Junior Support Analyst,"1,040",41,"£25,000",4.16%,67 (0.045%),9
2667,NA,Data Governance Manager,"1,040",108,"£60,000",-,67 (0.045%),10
2668,NA,E-Commerce Business Analyst,"1,040",46,"£60,000",-,67 (0.045%),10
2669,NA,Information Security Architect,"1,040",89,"£70,000",-12.50%,67 (0.045%),7
2670,NA,SharePoint Analyst,"1,040",73,"£42,500",11.11%,67 (0.045%),9
2671,NA,Data Governance Analyst,"1,040",108,"£60,000",-,67 (0.045%),10
2672,NA,PeopleSoft,"1,041",40,"£57,500",27.77%,66 (0.044%),8
2673,NA,Application Performance Monitoring,"1,041",101,"£64,000",34.73%,66 (0.044%),9
2674,NA,Converged Infrastructure,"1,041",83,"£47,500",-20.83%,66 (0.044%),8
2675,NA,Cross-Browser Development,"1,041",66,"£52,500",16.66%,66 (0.044%),16
2676,NA,Smoke Testing,"1,041",63,"£45,000",12.50%,66 (0.044%),10
2677,NA,CCSE,"1,041",15,"£53,450",-2.81%,66 (0.044%),19
2678,NA,Zend Framework,"1,041",-4,"£45,000",-3.22%,66 (0.044%),18
2679,NA,WebGL,"1,041",23,"£60,000",41.17%,66 (0.044%),26
2680,NA,NetBeans,"1,041",40,"£50,000",6.38%,66 (0.044%),12
2681,NA,SAP MM Consultant,"1,041",6,"£52,500",-4.54%,66 (0.044%),6
2682,NA,Business Support Analyst,"1,041",64,"£45,000",28.57%,66 (0.044%),4
2683,NA,Performance Engineer,"1,041",79,"£55,000",-,66 (0.044%),16
2684,NA,Data Centre Engineer,"1,041",-1,"£36,000",10.76%,66 (0.044%),24
2685,NA,Oracle Architect,"1,041",53,"£67,500",-15.62%,66 (0.044%),11
2686,NA,PHP MySQL Developer,"1,041",-82,"£40,000",6.66%,66 (0.044%),21
2687,NA,Microsoft Solutions Architect,"1,041",109,"£82,500",6.45%,66 (0.044%),24
2688,NA,SQL Programmer,"1,041",60,"£50,000",2.56%,66 (0.044%),6
2689,NA,SAP FI Analyst,"1,041",63,"£52,500",5.00%,66 (0.044%),1
2690,NA,Software AG,"1,042",124,"£55,700",-20.42%,65 (0.044%),4
2691,NA,Epicor,"1,042",-300,"£50,000",-,65 (0.044%),122
2692,NA,Netezza,"1,042",45,"£62,138",8.06%,65 (0.044%),19
2693,NA,Telematics,"1,042",-33,"£47,500",18.75%,65 (0.044%),31
2694,NA,Email Migration,"1,042",140,"£60,000",16.50%,65 (0.044%),3
2695,NA,DMZ,"1,042",-37,"£57,500",-4.16%,65 (0.044%),17
2696,NA,Doctrine,"1,042",38,"£47,500",46.15%,65 (0.044%),17
2697,NA,Aurelia,"1,042",23,"£60,000",20.00%,65 (0.044%),10
2698,NA,gRPC,"1,042",113,"£80,000",-4.47%,65 (0.044%),18
2699,NA,Redmine,"1,042",88,"£31,000",-22.50%,65 (0.044%),5
2700,NA,Visual Studio Code,"1,042",139,"£45,000",12.50%,65 (0.044%),17
2701,NA,Smart Home,"1,042",82,"£55,000",10.00%,65 (0.044%),30
2702,NA,VoIP Engineer,"1,042",108,"£42,750",31.53%,65 (0.044%),11
2703,NA,Senior Network Security Engineer,"1,042",78,"£60,000",-,65 (0.044%),3
2704,NA,Firewall Engineer,"1,042",16,"£50,000",-4.76%,65 (0.044%),19
2705,NA,Test Automation Manager,"1,042",93,"£62,500",4.16%,65 (0.044%),3
2706,NA,Salesforce Business Analyst,"1,042",7,"£65,000",18.18%,65 (0.044%),15
2707,NA,Compliance Analyst,"1,042",90,"£45,000",-3.22%,65 (0.044%),17
2708,NA,Office 365 Consultant,"1,042",9,"£57,500",9.52%,65 (0.044%),16
2709,NA,Computer Vision Engineer,"1,042",55,"£47,500",-13.63%,65 (0.044%),25
2710,NA,Netcool,"1,042",109,"£50,000",4.16%,65 (0.044%),14
2711,NA,CSIRT,"1,042",61,"£62,500",-10.71%,65 (0.044%),3
2712,NA,BusinessObjects Web Intelligence,"1,043",85,"£52,500",-4.54%,64 (0.043%),1
2713,NA,Code Coverage,"1,043",3,"£57,500",-4.16%,64 (0.043%),14
2714,NA,Chemistry,"1,043",97,"£40,000",14.28%,64 (0.043%),91
2715,NA,Risk Analytics,"1,043",12,"£75,000",-,64 (0.043%),21
2716,NA,Malware Detection/Protection,"1,043",11,"£60,000",-,64 (0.043%),8
2717,NA,Performance Measurement,"1,043",26,"£45,000",-13.46%,64 (0.043%),17
2718,NA,RPG IV,"1,043",85,"£40,000",-,64 (0.043%),1
2719,NA,SOQL,"1,043",72,"£52,500",-15.32%,64 (0.043%),10
2720,NA,TIBCO EMS,"1,043",33,"£72,500",-,64 (0.043%),7
2721,NA,JSTL,"1,043",88,"£40,000",-23.80%,64 (0.043%),7
2722,NA,SQLAlchemy,"1,043",74,"£55,000",10.00%,64 (0.043%),16
2723,NA,Universal Windows Platform,"1,043",94,"£35,000",11.11%,64 (0.043%),27
2724,NA,Technical Writer,"1,043",53,"£60,000",26.31%,64 (0.043%),31
2725,NA,Customer Support Engineer,"1,043",89,"£31,000",16.98%,64 (0.043%),5
2726,NA,Configuration Analyst,"1,043",103,"£40,500",6.57%,64 (0.043%),8
2727,NA,Cognos Developer,"1,043",72,"£52,500",16.66%,64 (0.043%),10
2728,NA,IT Assistant,"1,043",65,"£23,000",-42.35%,64 (0.043%),12
2729,NA,Mac Engineer,"1,043",17,"£32,500",2.36%,64 (0.043%),14
2730,NA,Infrastructure Solutions Architect,"1,043",58,"£70,000",7.69%,64 (0.043%),12
2731,NA,Network Systems Engineer,"1,043",24,"£50,000",3.09%,64 (0.043%),12
2732,NA,SSRS Analyst,"1,043",46,"£42,500",6.25%,64 (0.043%),9
2733,NA,Opsview,"1,043",68,"£46,000",8.23%,64 (0.043%),21
2734,NA,Akamai,"1,043",86,"£40,000",-44.82%,64 (0.043%),8
2735,NA,Murex,"1,044",-15,"£82,500",10.00%,63 (0.042%),6
2736,NA,Data Reconciliation,"1,044",55,"£49,337",8.43%,63 (0.042%),9
2737,NA,Decision Science,"1,044",84,"£57,500",2.22%,63 (0.042%),6
2738,NA,Solidity,"1,044",36,"£85,000",21.42%,63 (0.042%),12
2739,NA,Lambda Expressions,"1,044",88,"£55,000",-38.88%,63 (0.042%),10
2740,NA,Smart Contracts,"1,044",9,"£80,000",14.28%,63 (0.042%),7
2741,NA,Nightwatchjs,"1,044",85,"£60,000",26.31%,63 (0.042%),11
2742,NA,Sitefinity,"1,044",51,"£40,000",-18.36%,63 (0.042%),9
2743,NA,InstallShield,"1,044",103,"£55,000",15.78%,63 (0.042%),21
2744,NA,JIRA Agile,"1,044",69,"£42,500",-22.72%,63 (0.042%),3
2745,NA,Spread Betting,"1,044",14,"£70,000",18.64%,63 (0.042%),1
2746,NA,DFS Replication,"1,044",49,"£47,500",-9.52%,63 (0.042%),13
2747,NA,RPG Developer,"1,044",112,"£40,000",-,63 (0.042%),3
2748,NA,Senior Technical Support,"1,044",107,"£35,000",-20.00%,63 (0.042%),1
2749,NA,Information Security Risk Manager,"1,044",84,"£65,000",-31.57%,63 (0.042%),2
2750,NA,SAP Support Analyst,"1,044",70,"£42,500",13.33%,63 (0.042%),3
2751,NA,Major Incident Manager,"1,044",98,"£52,500",16.66%,63 (0.042%),4
2752,NA,BizTalk Developer,"1,044",54,"£70,000",16.66%,63 (0.042%),8
2753,NA,Senior Cisco Network Engineer,"1,044",41,"£62,500",19.04%,63 (0.042%),13
2754,NA,Sales Director,"1,044",95,"£90,000",-1.36%,63 (0.042%),13
2755,NA,Implementation Engineer,"1,044",54,"£45,000",-5.26%,63 (0.042%),33
2756,NA,1st Line Support Technician,"1,044",97,"£21,875",9.37%,63 (0.042%),2
2757,NA,Lead Network Engineer,"1,044",18,"£59,000",7.27%,63 (0.042%),10
2758,NA,Lead Web Developer,"1,044",46,"£53,750",-2.27%,63 (0.042%),22
2759,NA,Hyper-V Engineer,"1,044",66,"£42,500",3.65%,63 (0.042%),5
2760,NA,Games Engineer,"1,044",95,"£45,000",-18.18%,63 (0.042%),9
2761,NA,Banking Project Manager,"1,044",62,"£70,000",-,63 (0.042%),6
2762,NA,AWS CloudTrail,"1,044",96,"£72,500",20.83%,63 (0.042%),21
2763,NA,Oracle OLAP,"1,045",24,"£55,000",-,62 (0.042%),9
2764,NA,E-Procurement,"1,045",100,"£50,000",-16.66%,62 (0.042%),19
2765,NA,Psychology,"1,045",16,"£55,500",16.84%,62 (0.042%),27
2766,NA,AWK,"1,045",95,"£68,750",37.50%,62 (0.042%),4
2767,NA,GPEN,"1,045",112,"£60,000",9.09%,62 (0.042%),13
2768,NA,JSP 440,"1,045",97,"£52,500",-25.00%,62 (0.042%),16
2769,NA,Cocoa,"1,045",55,"£68,750",14.58%,62 (0.042%),17
2770,NA,Handlebars,"1,045",52,"£45,000",-18.18%,62 (0.042%),20
2771,NA,FitNesse,"1,045",-54,"£46,500",-2.10%,62 (0.042%),15
2772,NA,Data Administrator,"1,045",116,"£35,000",1.44%,62 (0.042%),82
2773,NA,C# Developer - Investment Banking,"1,045",83,"£32,500",-48.00%,62 (0.042%),1
2774,NA,Retail Finance,"1,045",113,"£50,000",-,62 (0.042%),6
2775,NA,Intapp,"1,046",-18,"£50,000",-,61 (0.041%),7
2776,NA,Hazelcast,"1,046",85,"£55,000",-6.77%,61 (0.041%),7
2777,NA,ERD,"1,046",69,"£66,000",10.00%,61 (0.041%),9
2778,NA,Complex Event Processing,"1,046",85,"£45,000",-25.00%,61 (0.041%),8
2779,NA,Ethnography,"1,046",99,"£55,000",15.78%,61 (0.041%),14
2780,NA,Tag Management,"1,046",93,"£47,500",-5.00%,61 (0.041%),28
2781,NA,Content Development,"1,046",55,"£48,000",20.00%,61 (0.041%),20
2782,NA,ISO 27001 Lead Auditor,"1,046",64,"£52,868",0.70%,61 (0.041%),16
2783,NA,Behat,"1,046",0,"£65,000",44.44%,61 (0.041%),11
2784,NA,Apache Ivy,"1,046",125,"£45,000",-5.26%,61 (0.041%),2
2785,NA,Photography,"1,046",85,"£45,000",5.88%,61 (0.041%),30
2786,NA,SAP IBP,"1,046",72,"£85,000",36.00%,61 (0.041%),5
2787,NA,Business Process Analyst,"1,046",69,"£45,000",12.50%,61 (0.041%),4
2788,NA,Chief Architect,"1,046",71,"£110,000",15.78%,61 (0.041%),7
2789,NA,IT Support Specialist,"1,046",89,"£35,000",7.69%,61 (0.041%),7
2790,NA,Java Applications Developer,"1,046",56,"£60,000",17.07%,61 (0.041%),8
2791,NA,FPGA Engineer,"1,046",80,"£50,000",5.26%,61 (0.041%),46
2792,NA,Web Support Engineer,"1,046",104,"£47,500",26.66%,61 (0.041%),1
2793,NA,Information Security Engineer,"1,046",79,"£55,000",-3.08%,61 (0.041%),11
2794,NA,CMS Developer,"1,046",-8,"£55,000",-,61 (0.041%),14
2795,NA,Infrastructure Technical Architect,"1,046",109,"£62,500",4.16%,61 (0.041%),11
2796,NA,Technical Infrastructure Architect,"1,046",109,"£62,500",4.16%,61 (0.041%),11
2797,NA,Interaction Designer,"1,046",95,"£42,291",-10.96%,61 (0.041%),9
2798,NA,Head of Applications,"1,046",99,"£85,000",11.47%,61 (0.041%),3
2799,NA,Graduate IT Analyst,"1,046",44,"£30,000",33.33%,61 (0.041%),8
2800,NA,Electronics Design Engineer,"1,046",93,"£43,000",1.17%,61 (0.041%),28
2801,NA,Yahoo!,"1,047",-33,"£47,500",-13.63%,60 (0.040%),21
2802,NA,Enterprise Content Management,"1,047",21,"£55,000",-12.00%,60 (0.040%),10
2803,NA,Customer-Centric Approach,"1,047",82,"£45,000",-,60 (0.040%),18
2804,NA,Demand Generation,"1,047",79,"£55,000",10.00%,60 (0.040%),6
2805,NA,Iteration Planning,"1,047",94,"£54,250",20.55%,60 (0.040%),5
2806,NA,BAPI,"1,047",23,"£60,000",9.09%,60 (0.040%),11
2807,NA,Grails,"1,047",11,"£70,000",16.66%,60 (0.040%),7
2808,NA,Core Data,"1,047",69,"£57,500",21.05%,60 (0.040%),12
2809,NA,Torch,"1,047",94,"£67,500",22.72%,60 (0.040%),5
2810,NA,Senior Programme Manager,"1,047",64,"£82,500",-2.94%,60 (0.040%),2
2811,NA,Server Support Engineer,"1,047",105,"£50,000",11.11%,60 (0.040%),3
2812,NA,IT Development Manager,"1,047",25,"£60,000",9.09%,60 (0.040%),15
2813,NA,Senior QA Analyst,"1,047",61,"£45,000",-16.27%,60 (0.040%),3
2814,NA,Cisco Security Consultant,"1,047",69,"£57,500",-4.16%,60 (0.040%),3
2815,NA,Digital Marketing Manager,"1,047",23,"£65,000",85.71%,60 (0.040%),11
2816,NA,ICT Manager,"1,047",-5,"£46,500",-4.02%,60 (0.040%),7
2817,NA,Enterprise Data Architect,"1,047",41,"£85,000",-5.55%,60 (0.040%),7
2818,NA,Cisco Security Engineer,"1,047",67,"£57,500",11.65%,60 (0.040%),6
2819,NA,Junior Systems Administrator,"1,047",100,"£30,000",-14.28%,60 (0.040%),7
2820,NA,Mobile Product Manager,"1,047",99,"£56,250",-10.00%,60 (0.040%),NA
2821,NA,Office 365 Architect,"1,047",98,"£70,000",3.70%,60 (0.040%),13
2822,NA,Senior ASP.NET MVC Developer,"1,047",-122,"£48,750",-2.50%,60 (0.040%),12
2823,NA,Hitachi,"1,048",54,"£55,000",37.50%,59 (0.040%),9
2824,NA,Riak,"1,048",36,"£55,000",-8.33%,59 (0.040%),26
2825,NA,Static Code Analysis,"1,048",92,"£44,375",-44.53%,59 (0.040%),18
2826,NA,Application Performance Management,"1,048",87,"£65,000",35.41%,59 (0.040%),4
2827,NA,zOS,"1,048",100,"£47,500",-9.52%,59 (0.040%),7
2828,NA,Data ONTAP,"1,048",102,"£50,000",11.11%,59 (0.040%),12
2829,NA,SAP XI,"1,048",54,"£60,000",-25.00%,59 (0.040%),6
2830,NA,Autofac,"1,048",53,"£57,500",15.00%,59 (0.040%),4
2831,NA,Smart Energy,"1,048",51,"£50,000",11.11%,59 (0.040%),8
2832,NA,Technical Support Manager,"1,048",91,"£50,000",-,59 (0.040%),4
2833,NA,Deployment Engineer,"1,048",14,"£45,000",-5.26%,59 (0.040%),65
2834,NA,Cisco Network Analyst,"1,048",97,"£57,500",15.00%,59 (0.040%),1
2835,NA,Network Team Leader,"1,048",60,"£53,000",-11.66%,59 (0.040%),12
2836,NA,IT Security Specialist,"1,048",95,"£55,000",-4.34%,59 (0.040%),1
2837,NA,Senior Technical Manager,"1,048",95,"£65,000",-7.14%,59 (0.040%),8
2838,NA,SOA Architect,"1,048",92,"£85,000",-,59 (0.040%),1
2839,NA,Embedded Linux Software Engineer,"1,048",72,"£45,000",-25.00%,59 (0.040%),20
2840,NA,Graduate C++ Developer,"1,048",45,"£65,000",116.66%,59 (0.040%),12
2841,NA,Lead Project Manager,"1,048",86,"£70,000",12.00%,59 (0.040%),7
2842,NA,Senior Information Analyst,"1,048",87,"£43,750",-12.50%,59 (0.040%),7
